Дата;Отрасль;Значение
28.02.2018;Операции с недвижимостью;21723.00
28.02.2018;Сельское хозяйство;20756.00
28.02.2018;Спорт и досуг;23361.00
28.02.2018;Строительство;27957.00
28.02.2018;Торговля;22899.00
28.02.2018;Транспортировка и хранение;30533.00
28.02.2018;Услуги ЖКХ;28990.00
28.02.2018;Финансы и страхование;38974.00
31.03.2018;Административная деятельность;20320.00
31.03.2018;Водоснабжение;22456.00
31.03.2018;Гос. управление;30153.00
31.03.2018;Гостиницы и общепит;19673.00
31.03.2018;Добыча полезных ископаемых;37730.00
31.03.2018;Здравоохранение;24889.00
31.03.2018;ИТ и связь;31819.00
31.03.2018;Научная и проф. деятельность;36208.00
31.03.2018;Обрабатывающие производства;27790.00
31.03.2018;Образование;22185.00
31.03.2018;Операции с недвижимостью;22141.00
31.03.2018;Сельское хозяйство;21006.00
31.03.2018;Спорт и досуг;23111.00
31.03.2018;Строительство;29055.00
31.03.2018;Торговля;23965.00
31.03.2018;Транспортировка и хранение;30597.00
31.03.2018;Услуги ЖКХ;29830.00
31.03.2018;Финансы и страхование;38618.00
30.04.2018;Административная деятельность;20226.00
30.04.2018;Водоснабжение;21932.00
30.04.2018;Гос. управление;32612.00
30.04.2018;Гостиницы и общепит;19392.00
30.04.2018;Добыча полезных ископаемых;37065.00
30.04.2018;Здравоохранение;24136.00
30.04.2018;ИТ и связь;31890.00
30.04.2018;Научная и проф. деятельность;35670.00
30.04.2018;Обрабатывающие производства;27524.00
30.04.2018;Образование;21938.00
30.04.2018;Операции с недвижимостью;21836.00
30.04.2018;Сельское хозяйство;21750.00
30.04.2018;Спорт и досуг;22408.00
30.04.2018;Строительство;29396.00
30.04.2018;Торговля;23483.00
30.04.2018;Транспортировка и хранение;30057.00
30.04.2018;Услуги ЖКХ;28847.00
30.04.2018;Финансы и страхование;43886.00
31.05.2018;Административная деятельность;22884.00
31.05.2018;Водоснабжение;24876.00
31.05.2018;Гос. управление;34232.00
31.05.2018;Гостиницы и общепит;22467.00
31.05.2018;Добыча полезных ископаемых;41506.00
31.05.2018;Здравоохранение;27464.00
31.05.2018;ИТ и связь;35000.00
31.05.2018;Научная и проф. деятельность;38507.00
31.05.2018;Обрабатывающие производства;29854.00
31.05.2018;Образование;28078.00
31.05.2018;Операции с недвижимостью;25062.00
31.05.2018;Сельское хозяйство;24540.00
31.05.2018;Спорт и досуг;25443.00
31.05.2018;Строительство;32285.00
31.05.2018;Торговля;26351.00
31.05.2018;Транспортировка и хранение;34572.00
31.05.2018;Услуги ЖКХ;32071.00
31.05.2018;Финансы и страхование;40013.00
30.06.2018;Административная деятельность;22450.00
30.06.2018;Водоснабжение;24600.00
30.06.2018;Гос. управление;34372.00
30.06.2018;Гостиницы и общепит;22201.00
30.06.2018;Добыча полезных ископаемых;40303.00
30.06.2018;Здравоохранение;27515.00
30.06.2018;ИТ и связь;34397.00
30.06.2018;Научная и проф. деятельность;38866.00
30.06.2018;Обрабатывающие производства;30000.00
30.06.2018;Образование;37139.00
30.06.2018;Операции с недвижимостью;24527.00
30.06.2018;Сельское хозяйство;23846.00
30.06.2018;Спорт и досуг;28490.00
30.06.2018;Строительство;31128.00
30.06.2018;Торговля;25719.00
30.06.2018;Транспортировка и хранение;33487.00
30.06.2018;Услуги ЖКХ;32404.00
30.06.2018;Финансы и страхование;38959.00
31.07.2018;Административная деятельность;22968.00
31.07.2018;Водоснабжение;25317.00
31.07.2018;Гос. управление;35667.00
31.07.2018;Гостиницы и общепит;22264.00
31.07.2018;Добыча полезных ископаемых;40351.00
31.07.2018;Здравоохранение;27136.00
31.07.2018;ИТ и связь;34800.00
31.07.2018;Научная и проф. деятельность;38168.00
31.07.2018;Обрабатывающие производства;29965.00
31.07.2018;Образование;22018.00
31.07.2018;Операции с недвижимостью;25025.00
31.07.2018;Сельское хозяйство;25512.00
31.07.2018;Спорт и досуг;26100.00
31.07.2018;Строительство;33494.00
31.07.2018;Торговля;26100.00
31.07.2018;Транспортировка и хранение;33690.00
31.07.2018;Услуги ЖКХ;31300.00
31.07.2018;Финансы и страхование;46110.00
31.08.2018;Административная деятельность;22731.00
31.08.2018;Водоснабжение;24929.00
31.08.2018;Гос. управление;33395.00
31.08.2018;Гостиницы и общепит;21750.00
31.08.2018;Добыча полезных ископаемых;41560.00
31.08.2018;Здравоохранение;25823.00
31.08.2018;ИТ и связь;33929.00
31.08.2018;Научная и проф. деятельность;36424.00
31.08.2018;Обрабатывающие производства;29253.00
31.08.2018;Образование;19829.00
31.08.2018;Операции с недвижимостью;24587.00
31.08.2018;Сельское хозяйство;25001.00
31.08.2018;Спорт и досуг;23169.00
31.08.2018;Строительство;32635.00
31.08.2018;Торговля;26001.00
